HA1,,HA2,,HA3,,HA4,,HA5,,HA6,,HA7,,HA8,,HA9,,HB1,,HB2,,HB3,,HB4,,HB5,,HB6,,HB7,,HB8,,HB9,
X(mm),Y(mm),X(mm),Y(mm),X(mm),Y(mm),X(mm),Y(mm),X(mm),Y(mm),X(mm),Y(mm),X(mm),Y(mm),X(mm),Y(mm),X(mm),Y(mm),X(mm),Y(mm),X(mm),Y(mm),X(mm),Y(mm),X(mm),Y(mm),X(mm),Y(mm),X(mm),Y(mm),X(mm),Y(mm),X(mm),Y(mm),X(mm),Y(mm)
,,,,,,,,,,,,,,,,,,,,,,,,-4.76016,-19.74282,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,-12.41835,-16.069307,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,-13.374871,-15.282372,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,-15.779102,12.809675,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,-15.546607,13.090868,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,4.060538,19.914313,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,11.992489,16.408779,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,13.320077,15.35068,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,19.767778,-4.72258,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,15.514871,-13.128465,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,-4.678034,-19.778368,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,-12.502474,-16.023607,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,-13.460068,-15.228079,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,-19.902784,4.192522,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,-19.748825,4.866412,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,-15.720844,12.905547,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,-15.497378,13.173054,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,3.947968,19.952735,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,4.935019,19.731793,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,12.088448,16.35749,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,13.411421,15.291562,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,19.804061,-4.636513,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,15.466076,-13.209791,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,-4.598532,-19.812914,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,-12.58299,-15.980189,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,-13.534133,-15.18306,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,-15.45693,13.244324,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,12.164653,16.320234,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,13.48754,15.245165,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,19.835377,-4.570188,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,15.426414,-13.279856,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,-4.532147,-19.844104,,,,,,,,,,
